transaction,customer,credit_card_type,credit_card,product,ip_address,amount,date
1,1,diners-club-international,36479002621559,Lamb Tenderloin Nz Fr,198.147.248.193,423.76,2020-09-03
2,22,switch,633323966326235447,Cheese - Grie Des Champ,245.222.144.168,496.85,2020-05-08
3,100,diners-club-international,36267020790443,Tea - Herbal I Love Lemon,199.242.178.175,76.34,2019-12-24
4,4,mastercard,5007665704846585,Muffin Mix - Morning Glory,213.204.34.234,719.48,2020-08-17
5,5,jcb,3548549430641190,Wine - Duboeuf Beaujolais,148.26.31.129,890.88,2019-12-29
6,6,laser,630498424114662880,Cookies Cereal Nut,35.172.35.252,237.58,2020-09-03
7,7,jcb,3552031663732353,Veal - Bones,252.7.201.93,178.53,2020-10-12
8,8,jcb,3548693658888610,Muffin - Blueberry Individual,44.32.106.226,897.40,2020-10-08
9,9,china-unionpay,560224303843799694,"Beef - Bones, Cut - Up",158.127.14.43,141.91,2020-04-12
10,10,jcb,3583009282447218,Cheese - Cheddarsliced,163.4.232.29,427.65,2020-04-26
11,11,jcb,3546757497382754,Hot Chocolate - Individual,129.135.62.144,674.72,2020-09-10
12,12,bankcard,5602233898678469,Flower - Daisies,133.227.27.110,393.73,2020-01-23
13,13,jcb,3533572185769138,Nori Sea Weed,145.221.192.142,539.68,2020-02-08
14,14,diners-club-enroute,201421543753573,Thermometer Digital,151.235.91.43,170.04,2019-12-08
15,15,diners-club-carte-blanche,30392217696488,Wine - Rioja Campo Viejo,47.167.29.66,129.37,2020-03-25
16,16,jcb,3538527747152871,Salmon - Sockeye Raw,54.61.186.169,916.93,2019-11-28
17,17,diners-club-enroute,201708935182100,Cheese - Camembert,243.79.103.145,262.28,2020-06-24
18,11,maestro,6759538577629554943,Glove - Cutting,149.118.207.76,529.45,2019-11-21
19,19,china-unionpay,56022331609332486,Thyme - Dried,20.120.139.229,183.24,2020-01-27
20,20,jcb,3581477837157420,Croissants Thaw And Serve,52.2.61.48,221.13,2019-12-23
21,21,jcb,3573903775299809,"Nut - Cashews, Whole, Raw",134.250.201.148,88.89,2020-08-21
22,22,diners-club-us-ca,5566342172771421,Container - Foam Dixie 12 Oz,199.190.186.138,205.04,2020-06-29
23,23,americanexpress,374288973618498,Wine - Pinot Noir Mondavi Coastal,140.104.74.8,345.15,2020-05-15
24,24,visa,4041370424020,Potatoes - Fingerling 4 Oz,4.154.37.241,209.40,2020-07-08
25,25,maestro,6761168371892234,Nantucket - 518ml,151.148.91.212,824.98,2020-01-14
26,26,laser,6304775887958210,Beef Cheek Fresh,116.41.147.249,590.01,2020-04-24
27,27,visa-electron,4917988127370369,Wild Boar - Tenderloin,141.186.227.212,857.85,2020-01-02
28,28,jcb,3584351293087826,"Shrimp - Baby, Warm Water",51.34.60.199,547.77,2020-06-26
29,29,switch,4905529084034777286,Truffle Shells - Semi - Sweet,98.188.29.125,907.69,2020-01-27
30,30,americanexpress,372301149165146,"Tart Shells - Sweet, 3",27.91.105.93,335.47,2020-10-23
31,31,jcb,3541249305957667,"Wine - White, Riesling, Henry Of",77.89.62.44,979.72,2019-12-07
32,32,diners-club-carte-blanche,30558174684341,Coconut Milk - Unsweetened,42.149.33.251,38.39,2020-05-29
33,33,jcb,3586538155797884,Ginger - Pickled,42.219.200.91,201.03,2020-05-03
34,34,jcb,3542658072092871,Buffalo - Striploin,246.100.242.46,277.65,2020-04-12
35,35,bankcard,5602223766376429,Rosemary - Fresh,63.94.210.47,685.59,2020-01-10
36,36,visa,4041591033923,"Ham - Smoked, Bone - In",179.75.178.37,85.19,2020-07-25
37,37,mastercard,5048377074327110,Chocolate - Sugar Free Semi Choc,60.22.137.167,391.16,2020-04-26
